Run	Dataset1	Dataset2	Phonological	Syntactic	Geographic	Genetic	Inventory	Featural	Entropy_pretrain_train	Entropy_pretrain_test	Entropy_pretrain_dev	Pretrain Training set size	Finetune Training set size	Total Size	KL_train	KL_test	KL_dev	UniqueLabels_finetune_test	UniqueLabels_pretrain_test	Formalism	Genre overlap	Formality overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats	Model Percentage Gain	Model gains	Model absolute
0	eng.pdtb.pdtb	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	10.4	7.4	10.4	43920.0	9580.0	53500.0	13.320999	13.293856	13.352399	16.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.632530120481924	9.072847682119203	53.04635761589404
0	eng.pdtb.pdtb	fas.rst.prstc	0.57	0.9	0.5	1.0	0.57	0.7	10.4	7.4	10.4	43920.0	4100.0	48020.0	13.320937	13.293835	13.352502	16.0	23.0	0.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	28.500000000000004	9.628378378378379	43.41216216216216
0	eng.pdtb.pdtb	fra.sdrt.annodis	0.43	0.46	0.0	0.9	0.48	0.5	10.4	7.4	10.4	43920.0	2185.0	46105.0	13.320842	13.293701	13.352256	18.0	23.0	0.0	1.0	2.0	39.63	0.0	0.0	0.0	0.0	0.0	41.2621359223301	13.600000000000001	46.56
0	eng.pdtb.pdtb	nld.rst.nldt	0.57	0.49	0.0	0.6	0.49	0.5	10.4	7.4	10.4	43920.0	1608.0	45528.0	13.319493	13.292574	13.35131	29.0	23.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	8.282208588957054	41.41104294478527
0	eng.pdtb.pdtb	por.rst.cstn	0.57	0.47	0.1	0.9	0.42	0.5	10.4	7.4	10.4	43920.0	4148.0	48068.0	13.319835	13.293441	13.351929	21.0	23.0	0.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	4.999999999999994	2.941176470588232	61.76470588235294
0	eng.pdtb.pdtb	rus.rst.rrt	0.28	0.49	0.2	0.9	0.56	0.5	10.4	7.4	10.4	43920.0	28822.0	72742.0	13.320595	13.29355	13.352126	20.0	23.0	0.0	1.0	2.0	33.82	0.0	0.0	0.0	0.0	0.0	2.3072252580449284	1.3366162504396755	59.26837847344355
0	eng.pdtb.pdtb	spa.rst.rststb	0.34	0.4	0.1	0.9	0.55	0.5	10.4	7.4	10.4	43920.0	2240.0	46160.0	13.319957	13.292954	13.351721	25.0	23.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	52.941176470588246	16.901408450704228	48.82629107981221
0	eng.pdtb.pdtb	spa.rst.sctb	0.34	0.4	0.1	0.9	0.55	0.5	10.4	7.4	10.4	43920.0	439.0	44359.0	13.320349	13.29365	13.352332	19.0	23.0	0.0	1.0	1.0	9.34	0.0	0.0	0.0	0.0	0.0	17.808219178082176	8.176100628930811	54.088050314465406
0	eng.pdtb.pdtb	tur.pdtb.tdb	0.34	0.7	0.1	1.0	0.52	0.6	10.4	7.4	10.4	43920.0	2451.0	46371.0	0.262378	0.231736	0.279827	22.0	23.0	1.0	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0	40.81632653061225	14.21800947867299	49.052132701421804
0	eng.pdtb.pdtb	zho.rst.sctb	0.57	0.57	1.0	1.0	0.6	0.6	10.4	7.4	10.4	43920.0	439.0	44359.0	13.320182	13.293547	13.352142	20.0	23.0	0.0	1.0	1.0	9.34	0.0	0.0	0.0	0.0	0.0	19.71830985915493	8.80503144654088	53.459119496855344
0	eng.rst.gum	deu.rst.pcc	0.33	0.42	0.1	0.43	0.44	0.4	9.35	7.48	7.48	13897.0	2164.0	16061.0	2.517382	2.992038	3.09068	24.0	23.0	1.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	43.90243902439026	6.923076923076925	22.692307692307693
